flagCode,country,AmazonRevenue_NetSales_usd_2024,AmazonRevenue_NetSales_usd_2023,AmazonRevenue_NetSales_usd_2022
https://worldpopulationreview.com/images/country-flags/svg/us.svg,United States,"438000000000,0","396000000000,0","356000000000,0"
https://worldpopulationreview.com/images/country-flags/svg/de.svg,Germany,40900000000,37560000000,33600000000
https://worldpopulationreview.com/images/country-flags/svg/gb.svg,United Kingdom,37900000000,33590000000,30070000000
https://worldpopulationreview.com/images/country-flags/svg/jp.svg,Japan,27400000000,26000000000,24400000000
