name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
VR Multi-Purpose 360° Rotating Organizer Tray/Kitchen Organizer/Multi- Function Rotating Tray/Cosmetics Organizer (Teal Bl...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/51hd9kbUKnL._AC_UL320_.jpg;https://www.amazon.in/VR-Multi-Purpose-Rotating-Organizer-Cosmetics/dp/B09ZK7P33F/ref=sr_1_64?qid=1679212742&s=kitchen&sr=1-64;4.2;2269.0;;99.0;VR
Speedex Stainless Steel Water Bottle 1 litre, Water Bottles For Fridge, School,Gym,Home,office,Boys, Girls, Kids, Leak Pro...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/31ZKMDTLwmL._AC_UL320_.jpg;https://www.amazon.in/Speedex-Stainless-Fridge-Refrigerator-Thunder/dp/B08FYVDRNK/ref=sr_1_65?qid=1679212742&s=kitchen&sr=1-65;3.7;7295.0;365.0;549.0;Speedex
Cello Ozone Plastic Water Bottle Set, 1 Litre, Set of 6, Assorted;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61646JcJJkL._AC_UL320_.jpg;https://www.amazon.in/Cello-Ozone-Plastic-Bottle-Assorted/dp/B07BF6T7ZD/ref=sr_1_66?qid=1679212742&s=kitchen&sr=1-66;4.3;11749.0;749.0;854.0;Cello
RIXTEC Pack Of 15 Ziplock Pouch Veg Bag, Ziplock Bag For Storage, Freezer RE-USABLE Zipper Bags, Ziplock Plastic Bags For ...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/512Tgh-qyJL._AC_UL320_.jpg;https://www.amazon.in/RIXTEC-Ziplock-Storage-RE-USABLE-22-86cmX25-4cm/dp/B0BD5FCJ6T/ref=sr_1_67?qid=1679212742&s=kitchen&sr=1-67;4.3;138.0;279.0;399.0;RIXTEC
SOLARA Sipper Water Bottle 1 L with Motivational Time Marker, Leakproof Durable BPA Free Non-Toxic Water Bottle for Offic...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/81awGP1q9vL._AC_UL320_.jpg;https://www.amazon.in/SOLARA-BPA-Free-Unbreakable-Non-Toxic-Detoxing/dp/B08Y1LD4T7/ref=sr_1_68?qid=1679212742&s=kitchen&sr=1-68;4.4;7740.0;849.0;1499.0;SOLARA
Kitchenwell 3 in 1 Large Durable Plastic Kitchen Sink Dish Rack Drainer Drying Rack Washing Basket with Tray for Kitchen, ...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61vNlQLQB2L._AC_UL320_.jpg;https://www.amazon.in/Kitchenwell-Durable-Plastic-Organizers-Utensils/dp/B0B7F17C88/ref=sr_1_69?qid=1679212742&s=kitchen&sr=1-69;4.0;43.0;;299.0;Kitchenwell
Milton Prudent 1100 Thermosteel 24 Hours Hot and Cold Water Bottle, 1023 ml, Blue;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/713z0OOpgLL._AC_UL320_.jpg;https://www.amazon.in/Milton-Prudent-1100-Thermosteel-Bottle/dp/B07TTCM3F4/ref=sr_1_70?qid=1679212742&s=kitchen&sr=1-70;4.4;1368.0;1087.0;1450.0;Milton
Pigeon by Stovekraft Inox Hydra Plus Stainless Steel Drinking Water Bottle 900 ml - Silver;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/51ZN0mL2y2L._AC_UL320_.jpg;https://www.amazon.in/Pigeon-Stovekraft-Stainless-Drinking-Bottle/dp/B0BHSHJZ33/ref=sr_1_71?qid=1679212742&s=kitchen&sr=1-71;3.6;74.0;199.0;495.0;Pigeon
Amazon Brand - Solimo Modular Plastic Storage Containers with Lid, Set of 8 (250ml each), Blue;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71Yt4wWmIYL._AC_UL320_.jpg;https://www.amazon.in/Solimo-Plastic-Container-White-SOPLA137/dp/B07P7ZYKYW/ref=sr_1_72?qid=1679212742&s=kitchen&sr=1-72;4.4;13014.0;329.0;750.0;Amazon
Treo By Milton Store Fresh Round Glass Storage Container Set, 380 ml, Set of 2, Transparent;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71lXfTFmPfL._AC_UL320_.jpg;https://www.amazon.in/Treo-Milton-Storage-Container-Transparent/dp/B077SZ5L4P/ref=sr_1_121?qid=1679212744&s=kitchen&sr=1-121;4.4;5366.0;388.0;510.0;Treo
Milton Prudent 500 Thermosteel 24 Hours Hot and Cold Water Bottle, 500 ml, Blue;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61eftTUlpwL._AC_UL320_.jpg;https://www.amazon.in/Milton-Prudent-Thermosteel-Cold-Bottle/dp/B07TVD6545/ref=sr_1_122?qid=1679212744&s=kitchen&sr=1-122;4.4;5866.0;714.0;940.0;Milton
Cello Puro Plastic Sports 900 Water Bottle, Set of 2 (Assorted);home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61ZVAOOaGmL._AC_UL320_.jpg;https://www.amazon.in/Cello-Sports-Plastic-Bottle-Assorted/dp/B07CM5DDTH/ref=sr_1_123?qid=1679212744&s=kitchen&sr=1-123;4.0;4684.0;245.0;399.0;Cello
ZOSOE Sprout Maker | Sprout Maker Box | Hygienic Sprout Maker with 4 Container | Organic Home Making Fresh Sprouts Beans f...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/51agdN7vi-L._AC_UL320_.jpg;https://www.amazon.in/ZOSOE-Plastic-Hygienic-Container-Organic/dp/B08543TV1J/ref=sr_1_124?qid=1679212744&s=kitchen&sr=1-124;4.0;7297.0;299.0;599.0;ZOSOE
SHAYONAM Fridge Storage Boxes, Fridge Organizer Case With Removable Drain Plate Stackable Fridge Storage Containers Keep F...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61du-gFZwnL._AC_UL320_.jpg;https://www.amazon.in/SHAYONAM-Organizer-Containers-Vegetables-Pack/dp/B0BHZR65WC/ref=sr_1_125?qid=1679212744&s=kitchen&sr=1-125;4.3;320.0;599.0;669.0;SHAYONAM
Cello Swift Vacuum Insulated Flask | Hot and Cold Water Bottle | Double Walled Stainless Steel Bottle for Travel, Home, Of...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61L3YjA-X8L._AC_UL320_.jpg;https://www.amazon.in/Cello-Swift-Steel-Flask-Silver/dp/B00N3L3XB6/ref=sr_1_126?qid=1679212744&s=kitchen&sr=1-126;4.3;14401.0;949.0;1449.0;Cello
12FOR COLLECTION 2pcs Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organ...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71zcsvFZaHL._AC_UL320_.jpg;https://www.amazon.in/12FOR-COLLECTION-Stainless-Expandable-Multipurpose/dp/B09XDQZHW2/ref=sr_1_127?qid=1679212744&s=kitchen&sr=1-127;3.9;798.0;333.0;599.0;12FOR
Grade Stainless Steel Sports Water Bottle with LED Temperature Display,Double Wall Vacuum Insulated Water Bottle, Stay Hot...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61VO5sUvEoL._AC_UL320_.jpg;https://www.amazon.in/Stainless-Sports-Temperature-Display-Insulated/dp/B07ZVL147P/ref=sr_1_128?qid=1679212744&s=kitchen&sr=1-128;4.4;5251.0;349.0;799.0;Grade
VROKLA 6pcs Fridge Storage Boxes Fridge Organizer with Removable Drain Plate and Lid Stackable Fridge Storage Containers P...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61HBVRQl7KS._AC_UL320_.jpg;https://www.amazon.in/VROKLA-Organizer-Removable-Containers-Vegetables/dp/B09MTQ1PN3/ref=sr_1_129?qid=1679212744&s=kitchen&sr=1-129;4.1;1601.0;649.0;1499.0;VROKLA
Signoraware 4.5 Litres Modular Multi-Purpose Plastic Containers with Lid for Kitchen Storage | Food Grade BPA Free Leak Pr...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71yDJ-UNHYL._AC_UL320_.jpg;https://www.amazon.in/Signoraware-Modular-Purpose-Plastic-Container/dp/B00JJHD3IG/ref=sr_1_130?qid=1679212744&s=kitchen&sr=1-130;4.4;2281.0;319.0;425.0;Signoraware
Amazon Brand - Solimo Plastic Storage Containers With Metal Finish Lids- 15 pieces, Silver;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/91Hffht29zL._AC_UL320_.jpg;https://www.amazon.in/Solimo-Plastic-Container-15-Pieces-Silver/dp/B07HCLTFRN/ref=sr_1_131?qid=1679212744&s=kitchen&sr=1-131;4.1;15228.0;829.0;1700.0;Amazon
Cutting EDGE Neo Durable Kitchen Sink, Dish Rack Drainer, Drying Rack Design 4 Washing Basket with Tray for Kitchen (Polyp...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71tRzR72QCS._AC_UL320_.jpg;https://www.amazon.in/Cutting-EDGE-Durable-Organizers-Utensils/dp/B097HN633M/ref=sr_1_132?qid=1679212744&s=kitchen&sr=1-132;4.0;315.0;;399.0;Cutting
12FOR COLLECTION Stainless Steel 3-Tier Storage Rack for Corners, Multipurpose Stainless Steel Kitchen Plate Dish Corner S...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61eX3uIvTwL._AC_UL320_.jpg;https://www.amazon.in/12FOR-COLLECTION-Stainless-Storage-Multipurpose/dp/B09MYH9QC1/ref=sr_1_133?qid=1679212744&s=kitchen&sr=1-133;3.8;2018.0;356.0;699.0;12FOR
Amazon Brand - Solimo Borosilicate Glass Water Bottle, (Transparent, 1000 ml, 1 Piece;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61+vVuWFZgL._AC_UL320_.jpg;https://www.amazon.in/Amazon-Brand-Solimo-Borosilicate-Bottle/dp/B087RZBP2R/ref=sr_1_134?qid=1679212744&s=kitchen&sr=1-134;4.2;1242.0;349.0;850.0;Amazon
Treo By Milton All Fresh Premier Tiffin Set of 8 (3 - Containers, 400 ml Each, 1 - Steel Bottle, 750 ml, 2 - Pickle/Chutne...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/81ZEMVyXf0L._AC_UL320_.jpg;https://www.amazon.in/Treo-Milton-Fresh-Premier-Tiffin/dp/B0BJLBYDFR/ref=sr_1_135?qid=1679212744&s=kitchen&sr=1-135;4.3;57.0;1049.0;2499.0;Treo
Treo By Milton Cube Storage Glass Jar, 1 Piece, 1000 ml, Transparent | BPA Free | Storage Jar | Kitchen Organizer Modular...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71QU-EN9LxL._AC_UL320_.jpg;https://www.amazon.in/Treo-Glass-Jar-Litre-Nocolortrans/dp/B01H5BT480/ref=sr_1_136?qid=1679212744&s=kitchen&sr=1-136;4.4;17373.0;189.0;250.0;Treo
Amazon Brand - Solimo Revolving Plastic Spice Rack set (16 pieces);home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/81u0Uo4nQdL._AC_UL320_.jpg;https://www.amazon.in/Amazon-Brand-Solimo-Revolving-pieces/dp/B07PBBRWFG/ref=sr_1_137?qid=1679212744&s=kitchen&sr=1-137;3.9;21701.0;469.0;1100.0;Amazon
Signoraware 6.5 Litres Modular Multi-Purpose Plastic Containers with Lid for Kitchen Storage | Food Grade BPA Free Leak Pr...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/31U5cX89OpL._AC_UL320_.jpg;https://www.amazon.in/Signoraware-Modular-Square-Plastic-Container/dp/B00JJHEWJ0/ref=sr_1_138?qid=1679212744&s=kitchen&sr=1-138;4.4;5254.0;410.0;530.0;Signoraware
Cello Crystal PET Bottle Set, 1 Litre, Set of 6, Black;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71+I6P2z5-L._AC_UL320_.jpg;https://www.amazon.in/Cello-Crystal-Bottle-Litre-Black/dp/B01BYBTU1S/ref=sr_1_139?qid=1679212744&s=kitchen&sr=1-139;3.9;5738.0;;275.0;Cello
