name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
JaisBoy Messenger Bags Genuine PU Leather Bag - Cross Body Shoulder Side Bag for Mens/Womens/Girls (Black);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/51QLBh5MCdL._AC_UL320_.jpg;https://www.amazon.in/JaisBoy-Messenger-Bags-Genuine-Leather/dp/B071V5GJQ7/ref=sr_1_258?qid=1679212573&s=apparel&sr=1-258;3.5;51.0;498.0;1499.0;JaisBoy
Diana Korr Women's Handbag (Pink) (DK12HPIN00);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/51U16m4xTvL._AC_UL320_.jpg;https://www.amazon.in/Diana-Korr-Womens-Handbag-Pink/dp/B01084PD3Q/ref=sr_1_259?qid=1679212573&s=apparel&sr=1-259;3.4;24.0;1499.0;3599.0;Diana
Yelloe Women's Messenger Bag;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/41n6cFzjXtL._AC_UL320_.jpg;https://www.amazon.in/Yelloe-Synthetic-Messenger-Bag-Men/dp/B071JTQYVV/ref=sr_1_260?qid=1679212573&s=apparel&sr=1-260;4.0;65.0;892.0;1990.0;Yelloe
CLASSIC FASHION Women's Handbag (cfs0177_Multicolored);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/61P5JsqQL9L._AC_UL320_.jpg;https://www.amazon.in/CLASSIC-FASHION-Shoulder-Multicolour-cfs0177/dp/B01MU4P92N/ref=sr_1_261?qid=1679212573&s=apparel&sr=1-261;3.6;36.0;864.0;2999.0;CLASSIC
Diana Korr Women's Wallet (Pink) (DKW12LPNK);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/A1TgaArR5kL._AC_UL320_.jpg;https://www.amazon.in/Diana-Korr-Womens-Wallet-Pink/dp/B015MY5YFY/ref=sr_1_262?qid=1679212573&s=apparel&sr=1-262;3.7;41.0;;1799.0;Diana
Diana Korr Women's Handbag (Tan) (DK10HNUD00);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/91mDwo6JeoL._AC_UL320_.jpg;https://www.amazon.in/Diana-Korr-Womens-Handbag-Tan/dp/B01084OJNQ/ref=sr_1_263?qid=1679212573&s=apparel&sr=1-263;3.4;52.0;2051.0;3999.0;Diana
Mango star Women's PU Sling Bag and Clutch Combo(Maroon);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/81XFfDbHA7L._AC_UL320_.jpg;https://www.amazon.in/Mango-star-Womens-Clutch-Maroon/dp/B07DDKGFV2/ref=sr_1_264?qid=1679212573&s=apparel&sr=1-264;3.5;40.0;468.0;1199.0;Mango
Mango Star Stylish And Trendy Shoulders Hand Beg With Combo PU Leather Material For Women's (Green);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/61BqpNxC8hL._AC_UL320_.jpg;https://www.amazon.in/mango-star-Stylish-Clutch-Womens/dp/B079D2MJ71/ref=sr_1_265?qid=1679212573&s=apparel&sr=1-265;3.2;32.0;548.0;1499.0;Mango
WildHorn Detachable Credit Card Holder Men's Leather Wallet Blue;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/81ZUvtupX+L._AC_UL320_.jpg;https://www.amazon.in/WildHorn-Genuine-Leather-Wallet-WH271/dp/B00OXU1XIQ/ref=sr_1_266?qid=1679212573&s=apparel&sr=1-266;4.0;47.0;540.0;1499.0;WildHorn
Vivinkaa Ethnic Printed Blu Flower Tote Bag With Zip for Women;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/71vS8f1i3ML._AC_UL320_.jpg;https://www.amazon.in/Vivinkaa-Womens-Ethnic-Printed-ETHNTOTEBLUFLWR/dp/B077WWL8XM/ref=sr_1_267?qid=1679212573&s=apparel&sr=1-267;3.5;18.0;799.0;1899.0;Vivinkaa
pranjals house Leather Unisex Sling & Cross-Body Bag Brown Size 11 Inch;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/61+gOox6U2L._AC_UL320_.jpg;https://www.amazon.in/pranjals-house-Leather-Cross-Body-Unisex/dp/B07117TD5S/ref=sr_1_268?qid=1679212573&s=apparel&sr=1-268;3.9;47.0;1297.0;2999.0;pranjals
Hidesign Women's Wallet (Blue);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/91foWL4swkL._AC_UL320_.jpg;https://www.amazon.in/Hidesign-leather-Womens-ANGARA-W1/dp/B07DHPY54B/ref=sr_1_269?qid=1679212573&s=apparel&sr=1-269;4.2;7.0;1798.0;3395.0;Hidesign
Tooba Women's Clutch (Beige);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/91TeI3Don-L._AC_UL320_.jpg;https://www.amazon.in/Tooba-Womens-Handicraft-Embroidered-Clutch/dp/B07GFHW1WN/ref=sr_1_270?qid=1679212573&s=apparel&sr=1-270;3.4;28.0;899.0;2999.0;Tooba
