name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
AmazonBasics ABS Horn Bell for Bicycles;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IbZJshbAL._AC_UL320_.jpg;https://www.amazon.in/AmazonBasics-abcancytoac0002-Cycle-Bell/dp/B08Z912H9D/ref=sr_1_15?qid=1679216992&s=sports&sr=1-15;4.0;46.0;75.0;9999.0;AmazonBasics
Luusa TFT-1 Tricycle Plug N Play Kids / Baby Tricycle with Parental Control, Cushion seat and Safety Guard Rail for Boys /...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Zukf2XVdL._AC_UL320_.jpg;https://www.amazon.in/Tricycle-Parental-Control-Carrying-Capacity/dp/B09T2VMD1L/ref=sr_1_16?qid=1679216992&s=sports&sr=1-16;4.0;632.0;2649.0;4595.0;Luusa
Luusa TFT RX-500 Plug N Play Kids/Baby Tricycle With Parental Control, Cushion Seat And Seat Belt For 12 Months To 48 Mont...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/514ua3R3pqL._AC_UL320_.jpg;https://www.amazon.in/Luusa-RX-500-Tricycle-Parental-Control/dp/B07STNCVMQ/ref=sr_1_17?qid=1679216992&s=sports&sr=1-17;4.1;12842.0;2349.0;3699.0;Luusa
SignoraWare Charger Stainless Steel Protein Shaker Bottle for Pre-Post Workout | Water Bottle | Leakproof with Knob (750ml...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51oBoS87qiL._AC_UL320_.jpg;https://www.amazon.in/Signoraware-Charger-Shaker-Steel-Silver/dp/B08437DZDP/ref=sr_1_18?qid=1679216992&s=sports&sr=1-18;4.3;6596.0;544.0;649.0;SignoraWare
Strauss Bicycle Bottle Holder (Black);sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616l6Bbph7L._AC_UL320_.jpg;https://www.amazon.in/Strauss-ST-1347-Plastic-Bicycle-Bottle/dp/B07DHJQ2S1/ref=sr_1_19?qid=1679216992&s=sports&sr=1-19;3.7;2507.0;199.0;399.0;Strauss
Gadget Deals 2-in-1 Rechargeable Cycle Light and Horn with Cycle Tail Light LED Cycle Light for Bicycle Front Rear Light C...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31jV0+jgN3S._AC_UL320_.jpg;https://www.amazon.in/Gadget-Rechargeable-Bicycle-Light-Multicolor/dp/B085XJ3QCL/ref=sr_1_20?qid=1679216992&s=sports&sr=1-20;3.9;708.0;399.0;1199.0;Gadget
SKULLFIT Sports Headbands for Men (Black) - Lightweight Moisture Wicking Workout Sweatbands for Running, Gym, Yoga, Cyclin...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61-n+ddVIHL._AC_UL320_.jpg;https://www.amazon.in/SKULLFIT-Sports-Headbands-Men-Black/dp/B08QGP3JVV/ref=sr_1_21?qid=1679216992&s=sports&sr=1-21;4.0;1022.0;298.0;1999.0;SKULLFIT
Nivia 728MYB Football Stocking, Medium (Yellow);sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61nsa2dtQOL._AC_UL320_.jpg;https://www.amazon.in/Nivia-728LNW-Encounter-Blend-Stockings/dp/B079SCMLG6/ref=sr_1_22?qid=1679216992&s=sports&sr=1-22;4.1;1062.0;;105.0;Nivia
GELRIDE Advanced Gel Bicycle Saddle Seat Cushion Cover for Indoor Outdoor Cycling, Exercise Cycle - Soft and Washable, 10...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/7175PdysvzL._AC_UL320_.jpg;https://www.amazon.in/GELRIDE-Advanced-Bicycle-Cushion-Exercise/dp/B09TQLLK47/ref=sr_1_23?qid=1679216992&s=sports&sr=1-23;4.3;768.0;849.0;1390.0;GELRIDE
GADGET DEALS Durable Quality Cycle Bell for Bicycle Ultra-Loud Cycle Horn Trending Kids Cycle Bell;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/515g7LbvP9L._AC_UL320_.jpg;https://www.amazon.in/Durable-Quality-Bicycle-Ultra-Loud-Trending/dp/B09RPRB634/ref=sr_1_24?qid=1679216992&s=sports&sr=1-24;4.0;487.0;179.0;499.0;GADGET
